,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
96,533,Lessors of nonfinancial intangible assets,2009.25,0.0,2104.0,inf,2007.25,3283.0,-124.0,-3.7770332013402372
97,541,Professional and technical services,2010.0,986.0,138.0,13.995943204868155,2010.0,1013576.0,121482.0,11.985485054894749
98,551,Management of companies and enterprises,2011.25,2203.0,-40.0,-1.8157058556513845,2009.25,51348.0,9159.0,17.837111474643606
99,561,Administrative and support services,2009.75,410.0,283.0,69.02439024390243,2011.0,446051.0,31241.0,7.003907624912846
100,562,Waste management and remediation services,2011.75,543.0,27.0,4.972375690607735,2010.0,23999.0,3101.0,12.921371723821826
101,611,Educational services,2009.5,769.0,56.0,7.282184655396619,2009.5,90250.0,19208.0,21.283102493074793
102,621,Ambulatory health care services,2009.25,762.0,135.0,17.716535433070867,2009.25,523852.0,50205.0,9.58381374892145
103,622,Hospitals,2010.0,958.0,157.0,16.38830897703549,2010.0,8062.0,1055.0,13.08608285785165
104,623,Nursing and residential care facilities,2010.0,525.0,41.0,7.809523809523809,2009.25,68354.0,7132.0,10.433917546888258
105,624,Social assistance,2010.0,440.0,-10.0,-2.272727272727273,2009.25,165907.0,562858.0,339.26115233233077
106,711,Performing arts and spectator sports,2009.5,445.0,-24.0,-5.393258426966292,2013.0,48595.0,4122.0,8.482354151661694
107,712,"Museums, historical sites, zoos, and parks",2009.25,581.0,58.0,9.982788296041308,2010.5,5643.0,578.0,10.242778663831295
108,713,"Amusements, gambling, and recreation",2010.0,407.0,37.0,9.090909090909092,2012.75,72423.0,2928.0,4.042914543722298
109,721,Accommodation,2007.25,330.0,-330.0,-100.0,2009.75,64665.0,2609.0,4.034640068042991
110,722,Food services and drinking places,2014.0,288.0,-288.0,-100.0,2009.75,549487.0,47888.0,8.715037844389403
111,811,Repair and maintenance,2010.0,731.0,96.0,13.132694938440492,2007.25,228949.0,-2867.0,-1.252243949525877
112,812,Personal and laundry services,2010.0,450.0,49.0,10.888888888888888,2010.75,193186.0,14073.0,7.2846893667242965
113,813,Membership associations and organizations,2009.5,577.0,189.0,32.755632582322356,2009.75,137812.0,6994.0,5.075029750674832
114,814,Private households,2011.0,348.0,123.0,35.3448275862069,2009.75,670693.0,-429270.0,-64.00394815511717
115,921,"Executive, legislative and general government",2010.0,849.0,80.0,9.422850412249705,2009.75,36162.0,166.0,0.45904540678059835
116,922,"Justice, public order, and safety activities",2009.75,978.0,106.0,10.838445807770961,2014.25,13789.0,209.0,1.5157009210240047
117,923,Administration of human resource programs,2009.75,906.0,76.0,8.388520971302428,2007.25,10678.0,-532.0,-4.98220640569395
118,924,Administration of environmental programs,2010.0,855.0,66.0,7.719298245614035,2010.5,6741.0,45.0,0.6675567423230975
119,925,Community and housing program administration,2007.25,825.0,-825.0,-100.0,2009.25,3430.0,27.0,0.7871720116618075
120,926,Administration of economic programs,2009.75,970.0,99.0,10.206185567010309,2011.0,11408.0,-638.0,-5.592566619915849
121,927,Space research and technology,2007.25,0.0,0.0,,2009.25,139.0,-42.0,-30.215827338129497
122,928,National security and international affairs,2007.25,656.0,-656.0,-100.0,2007.25,2380.0,-145.0,-6.092436974789916
123,999,Unclassified,2014.25,745.0,-76.0,-10.201342281879194,2007.25,212291.0,-5640.0,-2.6567306197624956
124,1011,Natural resources and mining,2010.0,681.0,100.0,14.684287812041116,2010.75,126966.0,10673.0,8.406187483263237
125,1012,Construction,2010.0,855.0,98.0,11.461988304093568,2007.25,896200.0,-137287.0,-15.31879044856059
126,1013,Manufacturing,2014.0,730.0,94.0,12.876712328767123,2007.25,361767.0,-22367.0,-6.1827087600582695
127,1021,"Trade, transportation, and utilities",2010.0,766.0,97.0,12.663185378590077,2007.25,1923617.0,-6347.0,-0.3299513364666667
128,1022,Information,2010.0,537.0,54.0,10.05586592178771,2014.25,147176.0,6369.0,4.327471870413654
129,1023,Financial activities,2009.75,850.0,149.0,17.529411764705884,2007.25,872652.0,-32317.0,-3.7033089937340424
130,1024,Professional and business services,2010.0,846.0,105.0,12.411347517730496,2010.75,1534974.0,164983.0,10.748260231117921
131,1025,Education and health services,2009.5,786.0,59.0,7.506361323155216,2009.25,856425.0,640458.0,74.78273053682459
132,1026,Leisure and hospitality,2010.0,390.0,48.0,12.307692307692308,2010.0,740501.0,58437.0,7.891549099866172
133,1027,Other services,2010.0,581.0,107.0,18.416523235800344,2009.75,1227257.0,-407687.0,-33.219366440769946
134,1028,Public administration,2010.0,924.0,93.0,10.064935064935066,2009.25,59585.0,984.0,1.6514223378367037
135,1029,Unclassified,2014.25,745.0,-76.0,-10.201342281879194,2007.25,212291.0,-5640.0,-2.6567306197624956
136,1111,Oilseed and grain farming,2007.25,0.0,0.0,,2009.25,7715.0,4171.0,54.06351263771872
137,1112,Vegetable and melon farming,2010.0,530.0,111.0,20.943396226415096,2009.5,4192.0,531.0,12.666984732824426
138,1113,Fruit and tree nut farming,2007.25,0.0,0.0,,2007.25,12022.0,-341.0,-2.8364664781234405
139,1114,Greenhouse and nursery production,2007.25,0.0,0.0,,2007.25,9188.0,-653.0,-7.107096212451023
